Archetype,EPA_Impact
ED_3,-0.04979101355622733
DI_1,-0.03999188774564113
S_0,-0.035896954936828894
ED_0,-0.03520706592283262
CB_3,-0.02034735274014675
ED_2,-0.01521953470069071
DI_2,-0.012915160524803916
S_1,-0.008764096566220396
LB_1,-0.008288706099758385
DI_R,-0.007323142760387039
ED_R,-0.006172754350132391
ED_1,-0.0010911800657145765
DI_0,-0.0008165642348726219
DI_3,0.009858599887167623
S_4,0.010235624744108801
CB_4,0.011176888815841644
LB_R,0.011922193379369528
S_3,0.012283706472040197
LB_3,0.012990680797464604
CB_2,0.013128898419632669
S_2,0.015002252519845147
S_R,0.023336705160280247
CB_1,0.026276230278924544
LB_0,0.03172040491542157
LB_2,0.03233126744088052
CB_R,0.061699854826286135
CB_0,0.06674576899092823
