dominant_cluster,2020,2021,2022,2023,2024
CB_0,16.82,14.47,12.23,7.55,11.74
CB_1,49.41,54.49,45.56,56.04,46.65
CB_2,29.1,22.75,32.67,21.9,24.58
CB_3,19.63,28.54,21.0,18.62,19.7
CB_4,86.83,83.85,88.94,96.9,91.4
CB_R,5.89,6.59,5.95,5.21,7.1
DI_0,23.7,33.94,31.29,32.51,35.16
DI_1,21.85,21.07,10.36,36.05,13.8
DI_2,51.23,32.09,31.51,28.63,37.77
DI_3,16.38,20.76,19.26,25.9,31.59
DI_R,1.87,1.34,0.86,1.17,0.92
ED_0,68.77,60.43,67.46,60.22,56.05
ED_1,44.69,47.89,52.11,47.36,47.12
ED_2,17.59,18.89,19.91,17.66,19.69
ED_3,33.89,33.72,29.94,36.92,36.46
ED_R,4.8,3.47,3.16,4.94,4.56
LB_0,63.16,68.62,31.19,20.17,28.22
LB_1,63.24,51.7,75.63,91.17,91.99
LB_2,9.21,11.29,13.34,9.57,6.57
LB_3,20.5,21.38,18.15,11.24,17.6
LB_R,5.23,5.98,4.64,5.09,4.69
S_0,32.72,16.38,28.17,21.37,16.96
S_1,42.01,25.57,34.47,22.37,25.71
S_2,41.78,36.86,38.79,39.17,44.55
S_3,0.0,0.89,0.3,0.0,0.75
S_4,59.64,86.8,79.11,81.79,86.33
S_R,6.2,4.72,3.7,3.0,4.38
