Base_Scheme,Archetype_Lineup,Plays,Avg_EPA
4-2-5,CB_1 | CB_4 | CB_4 | DI_1 | ED_0 | ED_2 | ED_3 | LB_1 | LB_1 | S_0 | S_0,103,-0.31252764374528486
4-2-5,CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_3 | ED_3 | LB_0 | LB_3 | S_0 | S_1,156,-0.19673531645724723
4-2-5,CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,155,-0.14745613378886804
4-2-5,CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | S_1 | S_4,142,-0.1472686549560304
4-2-5,CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_0 | ED_2 | LB_1 | LB_1 | S_0 | S_0,102,-0.14155164295441613
4-2-5,CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_4 | S_4,103,-0.14060449735970232
5-2-4,CB_2 | CB_4 | DI_0 | DI_2 | DI_2 | ED_0 | ED_3 | LB_1 | LB_2 | S_1 | S_2,136,-0.10520596354384809
4-2-5,CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,268,-0.09856128642767045
4-2-5,CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,130,-0.09236717809119592
4-2-5,CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_3 | LB_0 | LB_3 | S_0 | S_1,127,-0.08979631569258764
4-2-5,CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_0 | LB_1 | LB_1 | S_1 | S_4,286,-0.08570117206295898
4-2-5,CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_4,179,-0.08141535115852053
4-2-5,CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,113,-0.08120123826933338
4-1-6,CB_2 | CB_4 | CB_4 | DI_0 | ED_0 | ED_1 | ED_3 | LB_1 | S_2 | S_4 | S_4,166,-0.06610813459563566
4-2-5,CB_2 | CB_3 | CB_4 | DI_2 | DI_2 | ED_1 | ED_3 | LB_1 | LB_1 | S_4 | S_4,114,-0.029788700346695667
5-1-5,CB_2 | CB_4 | DI_0 | DI_0 | DI_3 | ED_1 | ED_3 | LB_1 | S_2 | S_4 | S_4,104,-0.019684885340281583
4-2-5,CB_1 | CB_3 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | S_4 | S_4,213,-0.018834082064847994
4-2-5,CB_1 | CB_4 | CB_4 | DI_0 | DI_0 | ED_1 | ED_1 | LB_0 | LB_1 | S_1 | S_4,296,-0.013185342129981447
4-2-5,CB_1 | CB_4 | CB_4 | DI_0 | DI_3 | ED_0 | ED_3 | LB_1 | LB_1 | S_2 | S_4,157,0.0010294191953687756
4-2-5,CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_2 | LB_1 | LB_1 | S_4 | S_4,103,0.004404962350573575
4-2-5,CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,125,0.008560751514074134
4-2-5,CB_1 | CB_3 | CB_4 | DI_0 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_1 | S_4,114,0.009432819847676771
4-3-4,CB_1 | CB_4 | DI_0 | DI_0 | ED_1 | ED_1 | LB_0 | LB_1 | LB_1 | S_1 | S_4,113,0.021868198097018256
4-2-5,CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_4 | S_4,151,0.033313181028923555
4-2-5,CB_1 | CB_4 | CB_4 | DI_0 | DI_3 | ED_0 | ED_0 | LB_1 | LB_1 | S_2 | S_4,105,0.036190315061027094
4-2-5,CB_1 | CB_2 | CB_4 | DI_1 | DI_1 | ED_1 | ED_3 | LB_1 | LB_1 | S_0 | S_4,163,0.03951076793242013
4-2-5,CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_1 | ED_1 | LB_1 | LB_1 | S_4 | S_4,178,0.04220416138997744
4-2-5,CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_2 | LB_1 | LB_1 | S_1 | S_4,143,0.08529757227864045
4-2-5,CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,101,0.10487935077603018
4-2-5,CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_3 | LB_0 | LB_0 | S_4 | S_4,160,0.12360867297838399
5-2-4,CB_1 | CB_4 | DI_1 | DI_2 | DI_3 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,113,0.12696605705217237
4-2-5,CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_3 | LB_0 | LB_1 | S_4 | S_4,133,0.1804064969535118
4-2-5,CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_1 | ED_1 | LB_0 | LB_0 | S_0 | S_4,159,0.19136498821305056
4-2-5,CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_1 | LB_1 | LB_2 | S_2 | S_2,113,0.19194571416514866
