Archetype_Lineup,Unique_Player_Combinations
CB_1_CB_4_CB_4_DI_2_DI_3_ED_1_ED_1_LB_0_LB_0_S_0_S_4,53
CB_1_CB_4_CB_4_DI_1_DI_2_ED_0_ED_0_LB_1_LB_1_S_4_S_4,52
CB_1_CB_4_CB_4_DI_1_DI_2_ED_0_ED_0_LB_1_LB_1_S_1_S_4,48
CB_1_CB_4_CB_4_DI_2_DI_3_ED_1_ED_1_LB_1_LB_1_S_4_S_4,42
CB_1_CB_4_CB_4_DI_0_DI_0_ED_1_ED_1_LB_0_LB_1_S_1_S_4,42
CB_1_CB_4_CB_4_DI_2_DI_2_ED_1_ED_1_LB_1_LB_1_S_4_S_4,39
CB_1_CB_4_CB_4_DI_2_DI_3_ED_0_ED_1_LB_0_LB_0_S_0_S_4,37
CB_1_CB_4_CB_4_DI_0_DI_1_ED_0_ED_0_LB_1_LB_1_S_1_S_4,35
CB_4_CB_4_DI_0_DI_1_ED_1_ED_2_LB_1_LB_1_S_2_S_4_S_4,31
CB_1_CB_4_DI_0_DI_0_ED_1_ED_1_LB_0_LB_1_LB_1_S_1_S_4,29
CB_1_CB_4_CB_4_DI_0_DI_1_ED_0_ED_3_LB_1_LB_1_S_1_S_4,28
CB_1_CB_4_CB_4_DI_0_DI_0_ED_0_ED_1_LB_1_LB_1_S_4_S_4,27
CB_2_CB_3_CB_4_DI_2_DI_2_ED_1_ED_3_LB_1_LB_1_S_4_S_4,26
CB_1_CB_4_CB_4_DI_2_DI_3_ED_0_ED_3_LB_1_LB_1_S_2_S_4,26
CB_1_CB_3_CB_4_DI_2_DI_2_ED_0_ED_1_LB_0_LB_1_S_4_S_4,25
CB_1_CB_4_CB_4_DI_0_DI_3_ED_0_ED_3_LB_1_LB_1_S_2_S_4,25
CB_2_CB_4_DI_0_DI_3_ED_0_ED_0_LB_0_LB_1_S_1_S_2_S_4,25
CB_1_CB_4_CB_4_DI_2_DI_2_ED_0_ED_1_LB_1_LB_1_S_2_S_4,23
CB_1_CB_4_CB_4_DI_2_DI_3_ED_0_ED_3_LB_1_LB_1_S_4_S_4,22
