Archetype_Lineup,2020,2021,2022,2023,2024
CB_1 | CB_3 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.0,1.174
CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_1 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.0,0.981
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_0 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.0,0.61,0.97
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.353,0.31,0.909
CB_1 | CB_4 | CB_4 | DI_0 | DI_3 | ED_0 | ED_3 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.0,0.865
CB_2 | CB_4 | CB_4 | DI_0 | ED_0 | ED_1 | ED_3 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.165,0.0,0.793
CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_2 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.038,0.0,0.76
CB_2 | CB_3 | CB_4 | DI_2 | DI_2 | ED_1 | ED_3 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.0,0.628
CB_2 | CB_4 | DI_0 | DI_0 | DI_3 | ED_1 | ED_3 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.0,0.0,0.573
CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.067,0.557
CB_4 | CB_4 | DI_0 | DI_1 | ED_1 | ED_2 | LB_1 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.0,0.0,0.534
CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_0 | ED_2 | LB_0 | LB_1 | S_0 | S_4,0.0,0.0,0.0,0.0,0.468
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_1 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.068,0.028,0.463
CB_2 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_0 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.0,0.397
CB_0 | CB_1 | CB_3 | DI_2 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.0,0.391
CB_1 | CB_4 | CB_4 | DI_2 | ED_0 | ED_0 | ED_2 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.0,0.0,0.38
CB_1 | CB_4 | DI_2 | DI_2 | ED_0 | ED_2 | LB_1 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.045,0.0,0.364
CB_0 | CB_1 | CB_4 | DI_3 | ED_0 | ED_1 | ED_2 | LB_1 | S_0 | S_4 | S_4,0.0,0.0,0.0,0.0,0.358
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_0 | ED_3 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.0,0.358
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_0 | ED_3 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.06,0.1,0.353
CB_2 | CB_4 | DI_0 | DI_3 | ED_0 | ED_0 | LB_0 | LB_1 | S_1 | S_2 | S_4,0.0,0.0,0.0,0.0,0.347
CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_1 | ED_2 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.0,0.347
CB_1 | CB_2 | CB_4 | DI_2 | DI_3 | ED_1 | ED_3 | LB_1 | LB_1 | S_0 | S_1,0.0,0.0,0.0,0.0,0.336
CB_2 | CB_3 | CB_4 | DI_2 | DI_2 | ED_1 | ED_3 | LB_1 | LB_3 | S_4 | S_4,0.0,0.0,0.0,0.0,0.331
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_2 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.008,0.0,0.303
CB_1 | CB_4 | CB_4 | DI_0 | DI_3 | ED_0 | ED_0 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.283,0.298
CB_3 | CB_4 | DI_2 | DI_2 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.0,0.292
CB_1 | CB_4 | CB_4 | DI_0 | ED_0 | ED_0 | ED_3 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.0,0.0,0.287
CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_1 | ED_3 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.0,0.281
